time_s,control_state,policy,command_c0,command_c1,command_c2,base_height_m,roll_deg,pitch_deg,yaw_deg,body_vx_m_s,body_vy_m_s,body_vz_m_s,body_wx_rad_s,body_wy_rad_s,body_wz_rad_s,pd_error_rms_rad,pd_error_max_abs_rad,left_knee_joint_position_rad,left_knee_joint_pd_target_rad,right_knee_joint_position_rad,right_knee_joint_pd_target_rad,left_shoulder_roll_joint_position_rad,left_shoulder_roll_joint_pd_target_rad,left_wrist_yaw_joint_position_rad,left_wrist_yaw_joint_pd_target_rad,left_hip_roll_joint_actuator_torque_nm,left_hip_yaw_joint_actuator_torque_nm,left_hip_pitch_joint_actuator_torque_nm,left_knee_joint_actuator_torque_nm,left_ankle_pitch_joint_actuator_torque_nm,left_ankle_roll_joint_actuator_torque_nm,right_hip_roll_joint_actuator_torque_nm,right_hip_yaw_joint_actuator_torque_nm,right_hip_pitch_joint_actuator_torque_nm,right_knee_joint_actuator_torque_nm,right_ankle_pitch_joint_actuator_torque_nm,right_ankle_roll_joint_actuator_torque_nm
129.11999999995507,houtaitui_play,houtaitui,0.0,0.0,0.0,1.01176033849542,0.2165066910941707,1.2919963227363362,-174.95165974017084,-0.0012528534590777233,-0.003327629326889034,0.0005042386590288887,-0.0012203787503635142,0.004520869520424513,0.009322503525992658,0.05812114312652925,0.1658701607858107,0.33839995603255635,0.2556203689823151,0.3612200078496972,0.2362339880714417,0.9132749592625143,1.0446050882339477,-0.7577753985485937,-0.7790734280883789,2.8659093455037534,-2.8174558447791744,-1.8743514837636384,-14.898020863864648,0.3501194293887395,0.30355743255567347,-2.3957952225891863,1.358531075664947,4.806578167017267,-22.4934448902648,6.63583932978839,0.8315805871653108
129.13999999995505,houtaitui_play,houtaitui,0.0,0.0,0.0,1.0117542495416145,0.21671998919267765,1.2964821905963115,-174.93930806173907,-0.0009774596692150867,-0.003060595147296153,8.98488013731267e-05,4.728979878510669e-05,0.003962291613539105,0.011037242977150592,0.058270301013721264,0.16495253977184912,0.33839402096795435,0.2555869605789185,0.3613259400676134,0.236681320930481,0.9132902489689445,1.045771074295044,-0.7578951980536869,-0.7782387246429443,2.8119353089897614,-2.8189955234865343,-2.0163552638374043,-14.90500259755672,0.43756902221382965,0.2895865863517907,-2.1663003173952187,1.3667982197333313,4.98049942029437,-22.444650293198386,6.59659064936181,0.8326014382982594
129.15999999995503,houtaitui_play,houtaitui,0.0,0.0,0.0,1.0117503103414038,0.2167735644426877,1.29990755886849,-174.92675665020664,-0.0004970759153820506,-0.0030095410822444033,0.00016302425148774995,-0.0002764655448459914,0.002837243222144477,0.010834719403080034,0.058494358267106805,0.16391933120814545,0.33835744135424756,0.2550187495002747,0.3613892574651731,0.23663250472640995,0.9133118069980759,1.0487266302108764,-0.7579426028024883,-0.777010392123413,2.867624520264655,-2.7634666084989408,-2.1554484215420024,-14.997969050691417,0.42068227821712456,0.30207103819118436,-1.9077331067265388,1.3278167379109849,4.859368800430536,-22.460396449385115,6.555626595389763,0.8217240383103538
129.17999999995502,houtaitui_play,houtaitui,0.0,0.0,0.0,1.0117525673773582,0.2170158409199305,1.3021181389897272,-174.91887576191354,-0.00012974573047705432,-0.0025745968473028977,0.0003710588330861887,0.00013204511020599964,0.0018554342260460835,0.006121993288080576,0.05849436707793568,0.16406557187974966,0.3382237419119233,0.2541935827980042,0.36138406960745867,0.23639027145004277,0.9133838698827037,1.049029541015625,-0.7579529068463189,-0.7763950337707519,2.979964498162854,-2.709683753781281,-2.1205922805579545,-15.114351664809444,0.35342231076698055,0.315140447574805,-1.9258442147864463,1.247107237558804,4.7810221552845436,-22.498275170248522,6.5622723042596975,0.8091425575632166
129.199999999955,houtaitui_play,houtaitui,0.0,0.0,0.0,1.0117577968336409,0.21811919027153764,1.3049701309666033,-174.91661168552017,-6.144266272428215e-05,-0.0020047807611980988,0.0005855611926894252,0.0010480905758205332,0.002653903108375712,0.0011928954036809474,0.05853933120367143,0.16583466783318745,0.3380405493738017,0.2536289778003693,0.36135938239187704,0.23570094373321537,0.9134472144330187,1.0460346460342407,-0.7580418793566941,-0.7780067433654785,3.040404804329389,-2.713285574449077,-1.9123908900086464,-15.180232292217358,0.3588775471590554,0.31218812040156535,-2.1580028341009085,1.2637491500248514,4.9336054103958205,-22.61667255871331,6.633600513130714,0.8237221556801066
129.21999999995498,houtaitui_play,houtaitui,0.0,0.0,0.0,1.0117609693503473,0.21988493616901952,1.3088905933397426,-174.91648627168723,-6.629760972677294e-05,-0.001823801920790076,0.0005509349326900856,0.0016110273395390335,0.003545654783519207,2.9226425247279326e-05,0.05840302201051128,0.165905362296298,0.3378680996126072,0.2539623167762757,0.361389454476595,0.23619947698211674,0.9132811405167466,1.0425767421722412,-0.7585068597119453,-0.781059693270874,3.039298024769093,-2.759521877901097,-1.938157920933313,-15.090042731832725,0.4753948201554044,0.2960580662275686,-2.210277291478699,1.3268237944743542,5.130698082257707,-22.536504104735414,6.636079853088546,0.8416917819865116
129.23999999995496,houtaitui_play,houtaitui,0.0,0.0,0.0,1.0117502648244965,0.22386555787135956,1.3150803661413877,-174.91645761854272,-0.00017875917811635187,-0.0015843379684161842,1.8780632718289595e-06,0.0038433932951376084,0.0056911959568402325,4.623606454910907e-06,0.05820946913795273,0.1641025413014153,0.33781447277841564,0.25424353149032597,0.361720350961992,0.23744443919754032,0.9128055349976877,1.040900421142578,-0.7599702574749574,-0.7835220803558349,2.994871039711336,-2.790404245272096,-1.9918897202942683,-15.03949123065304,0.5850382958435563,0.2792861080074015,-2.2012208367150263,1.3628221603030415,5.237466902829906,-22.395881402978002,6.560204100587815,0.8343136149760833
129.25999999995494,houtaitui_play,houtaitui,0.0,0.0,0.0,1.0117372940446423,0.22760868412808083,1.323711538448316,-174.91644458433575,1.4993865138732872e-05,-0.0017277334276598587,0.0002853620294586643,0.003047615003657841,0.0078062443641165125,-2.196539619094331e-05,0.05857435754994981,0.16449566063739826,0.3377887065951925,0.25339729454612736,0.36204505501497297,0.2370978977928162,0.9122344474442785,1.043674063682556,-0.7612651335310097,-0.784059714251709,3.069122240866209,-2.7414907951184815,-1.83858122814289,-15.188694705103025,0.5944674084886773,0.2821565091450517,-2.2754877092286887,1.381193891425754,4.946397990760269,-22.51449778287451,6.576518689362893,0.8226749185384278
129.27999999995492,houtaitui_play,houtaitui,0.0,0.0,0.0,1.0117347905088332,0.22879941392901545,1.3329047801472713,-174.91642376667542,0.000747301186783052,-0.0020925970605970316,0.0008945310016266416,0.0007192556567533366,0.007982533361630089,-1.2025337190543874e-05,0.05870435197874973,0.16484057006721245,0.33769928943432004,0.25330598023033146,0.3621150224493814,0.23702190187072758,0.9118582237750987,1.04679114818573,-0.7616044514608394,-0.78341193097229,3.086986604111157,-2.667882719735823,-1.9572746729504262,-15.183583520044944,0.5391696879882529,0.29163365030911026,-2.203216243288099,1.329667812367145,4.651763156032319,-22.520780967469523,6.593384930151721,0.8079915223648291
129.2999999999549,houtaitui_play,houtaitui,0.0,0.0,0.0,1.0117407948808677,0.22692506672133456,1.341035086184246,-174.91596322200138,0.0016003694899417585,-0.002665376450100409,0.0012009228532916573,-0.0020534084213976876,0.006901200245832645,0.0004764050695557959,0.058387894946150994,0.1648565483702894,0.33761658809086914,0.25387326743698124,0.36196191803888456,0.2363095071563721,0.9117193348242687,1.0457565307617187,-0.7617495344332488,-0.783383797579956,3.0794598524393586,-2.63253736471972,-2.0266083078197434,-15.067119670182786,0.5017117457788762,0.2960571718503515,-1.995585391950437,1.2861874515566258,4.565988030251974,-22.604353807820083,6.59635519619329,0.806518907892319
